,,acc,acc,train_time,train_time,test_time,test_time
,,mean,std,mean,std,mean,std
parameters,weight_train,,,,,,
h_size:300;subnets:10;, False,0.97692,0.0018413762968678476,22.680592799186705,0.8534519407977722,0.6969317197799683,0.008942186962013364
h_size:300;subnets:10;, True,0.9728,0.0017732581437693864,49.55743005275726,0.3574954400853402,0.6865519285202026,0.009992195941672995
h_size:300;subnets:1;, False,0.9445500000000001,0.0037187961014882682,3.2669408082962037,0.032835954257557746,0.33821880817413325,0.011225577311191223
h_size:300;subnets:1;, True,0.95505,0.0021151569419049832,30.7231826543808,0.9127776741280829,0.32709395885467524,0.006825486392480639
h_size:300;subnets:2;, False,0.95881,0.0031356197331805225,5.092012071609497,0.15085047282095548,0.3633203268051147,0.004834114882222317
h_size:300;subnets:2;, True,0.9631299999999999,0.001712730114304181,32.25122938156128,0.886927329075065,0.36635580062866213,0.019463589423441802
h_size:300;subnets:3;, False,0.96423,0.002107684353344525,7.043742346763611,0.130813893271963,0.4000649690628052,0.006726822829699732
h_size:300;subnets:3;, True,0.96602,0.0013002563849743773,33.82328391075134,0.3984625061492862,0.39335765838623044,0.00280028866747447
h_size:300;subnets:4;, False,0.96613,0.003981359343518528,9.034341955184937,0.09918288477490884,0.43196883201599123,0.004534392276126685
h_size:300;subnets:4;, True,0.9679499999999999,0.0014531574817158194,35.624566841125485,0.28741619432714216,0.4249564647674561,0.0037209865559778834
h_size:300;subnets:6;, False,0.97294,0.001467575476007208,13.110870194435119,0.1473000055827056,0.511257553100586,0.010474320501138374
h_size:300;subnets:6;, True,0.97,0.0019832633040858067,40.25011029243469,0.5945589140459109,0.5161413669586181,0.046617318305333014
h_size:300;subnets:8;, False,0.9737600000000001,0.0021061813787041144,17.51669063568115,0.086748402610396,0.5926640510559082,0.008233297729700152
h_size:300;subnets:8;, True,0.97149,0.0018489937203186263,44.71295042037964,0.22191381188320694,0.5869213581085205,0.012505358010151624
