,,acc,acc,train_time,train_time,test_time,test_time
,,mean,std,mean,std,mean,std
parameters,weight_train,,,,,,
h_size:150;subnets:10;, False,0.9704499999999999,0.0016768025127207663,10.654552030563355,0.12173763762972596,0.47415049076080323,0.009679244679793073
h_size:150;subnets:10;, True,0.96815,0.0020211382931407764,36.85983316898346,0.24393396859773234,0.46493356227874755,0.007825036605121708
h_size:150;subnets:1;, False,0.93326,0.005250862363036725,2.4886127710342407,0.007620833142494994,0.3079619407653808,0.002609296683932339
h_size:150;subnets:1;, True,0.9418799999999999,0.0022880365187450736,29.239102244377136,0.19336446956220324,0.2995810270309448,0.0019373954421410867
h_size:150;subnets:2;, False,0.94817,0.003618793537446812,3.212452006340027,0.07273381350375341,0.3137057781219482,0.011843960129346217
h_size:150;subnets:2;, True,0.95511,0.0017521098392763036,29.764733695983885,0.3755992018586093,0.306270432472229,0.011843275724604743
h_size:150;subnets:3;, False,0.95381,0.002828996681196779,3.9319541215896607,0.0132253968626746,0.32284452915191647,0.005869224906658816
h_size:150;subnets:3;, True,0.9592499999999999,0.0018368148760528255,30.50190758705139,0.5248980463693735,0.3157003164291382,0.003210515719549059
h_size:150;subnets:4;, False,0.95928,0.004512895104278681,4.754437327384949,0.013663847682210198,0.33718101978302,0.002427981276942567
h_size:150;subnets:4;, True,0.96139,0.001805208513656457,31.310392880439757,0.3256058549454234,0.33287851810455316,0.006851347039558934
h_size:150;subnets:6;, False,0.96228,0.0034649995991662434,6.570513272285462,0.030239289284803517,0.37767705917358396,0.002826413931261231
h_size:150;subnets:6;, True,0.96473,0.0016296216329770151,32.85205736160278,0.284942002707736,0.3683246374130249,0.0037357141857613813
h_size:150;subnets:8;, False,0.96799,0.0021532662528251133,8.459147644042968,0.03672687634165186,0.41883718967437744,0.004398455859008356
h_size:150;subnets:8;, True,0.96656,0.0018697593428032146,34.54790048599243,0.15946255071835222,0.413803243637085,0.005572678252241163
