name,seed,acc,train_time,test_time,weight_init
lenet-pae-elm,22,0.979,6.788895606994629,0.3145589828491211,pre_train
lenet-pae-elm,22,0.9709,6.483360290527344,0.31063127517700195,ran
lenet-pae-elm,22,0.9653,6.771112680435181,0.3043556213378906,ortho_ran
lenet-pae-elm,432,0.9779,7.355258941650391,0.3213832378387451,pre_train
lenet-pae-elm,432,0.9674,6.584843873977661,0.3069572448730469,ran
lenet-pae-elm,432,0.9698,7.545143127441406,0.30851173400878906,ortho_ran
lenet-pae-elm,63,0.9773,7.057372570037842,0.3108940124511719,pre_train
lenet-pae-elm,63,0.9707,7.035260915756226,0.30136728286743164,ran
lenet-pae-elm,63,0.9693,6.919450759887695,0.30528688430786133,ortho_ran
lenet-pae-elm,754,0.9813,7.038842439651489,0.30298900604248047,pre_train
lenet-pae-elm,754,0.9705,7.030123233795166,0.2984778881072998,ran
lenet-pae-elm,754,0.97,7.228578805923462,0.31851840019226074,ortho_ran
lenet-pae-elm,3456,0.9795,7.436695575714111,0.31041598320007324,pre_train
lenet-pae-elm,3456,0.9728,7.038945436477661,0.30774831771850586,ran
lenet-pae-elm,3456,0.9668,7.062443971633911,0.31099367141723633,ortho_ran
lenet-pae-elm,5,0.9798,7.0297675132751465,0.3108551502227783,pre_train
lenet-pae-elm,5,0.9712,7.099442958831787,0.3075399398803711,ran
lenet-pae-elm,5,0.9678,7.014015436172485,0.31064748764038086,ortho_ran
lenet-pae-elm,6677,0.9782,7.019686698913574,0.3101327419281006,pre_train
lenet-pae-elm,6677,0.9722,7.0655903816223145,0.31209349632263184,ran
lenet-pae-elm,6677,0.9678,7.054142475128174,0.31258630752563477,ortho_ran
lenet-pae-elm,876,0.9785,7.307401657104492,0.31112194061279297,pre_train
lenet-pae-elm,876,0.9716,7.051312446594238,0.30143165588378906,ran
lenet-pae-elm,876,0.9721,7.00789475440979,0.29558658599853516,ortho_ran
lenet-pae-elm,213,0.977,7.517167568206787,0.35498762130737305,pre_train
lenet-pae-elm,213,0.9715,8.956429481506348,0.3105640411376953,ran
lenet-pae-elm,213,0.9723,7.022639036178589,0.3122286796569824,ortho_ran
lenet-pae-elm,5444,0.9785,7.0045177936553955,0.3113057613372803,pre_train
lenet-pae-elm,5444,0.9692,7.017331123352051,0.30973148345947266,ran
lenet-pae-elm,5444,0.9722,7.016641139984131,0.3129105567932129,ortho_ran
