name,dataset,epochs,seed,acc,train_time,test_time
lenet5,2,1,22,0.8474074074074074,15.0815110206604,0
lenet5,2,1,432,0.777201646090535,15.70790696144104,0
lenet5,2,1,63,0.8217283950617283,16.687800407409668,0
lenet5,2,1,754,0.6791358024691359,16.193578243255615,0
lenet5,2,1,3456,0.8393004115226338,16.351739168167114,0
lenet5,2,1,5,0.5069547325102881,16.121745824813843,0
lenet5,2,1,6677,0.7617283950617284,16.429757833480835,0
lenet5,2,1,876,0.8439094650205762,16.300206899642944,0
lenet5,2,1,213,0.8406172839506173,15.723777055740356,0
lenet5,2,1,5444,0.8702469135802469,15.451712369918823,0
lenet5,2,2,22,0.7915637860082304,31.660057544708252,0
lenet5,2,2,432,0.8037448559670782,32.821892738342285,0
lenet5,2,2,63,0.8367901234567902,31.401630878448486,0
lenet5,2,2,754,0.7600411522633744,31.236624240875244,0
lenet5,2,2,3456,0.8645267489711934,31.81094002723694,0
lenet5,2,2,5,0.4431275720164609,31.407350778579712,0
lenet5,2,2,6677,0.7190946502057614,31.84187960624695,0
lenet5,2,2,876,0.8611111111111112,31.264358520507812,0
lenet5,2,2,213,0.8354320987654321,31.519595861434937,0
lenet5,2,2,5444,0.8587654320987654,32.556737422943115,0
lenet5,2,3,22,0.8510288065843621,48.09191012382507,0
lenet5,2,3,432,0.8334567901234567,47.096683502197266,0
lenet5,2,3,63,0.8025925925925926,47.51097059249878,0
lenet5,2,3,754,0.7384362139917695,46.917776584625244,0
lenet5,2,3,3456,0.8158024691358025,47.272205114364624,0
lenet5,2,3,5,0.5645267489711934,46.924431800842285,0
lenet5,2,3,6677,0.6983127572016461,47.23571825027466,0
lenet5,2,3,876,0.8659259259259259,47.27519750595093,0
lenet5,2,3,213,0.8253086419753086,46.98944640159607,0
lenet5,2,3,5444,0.8436213991769548,47.113566875457764,0
