name,dataset,subnets,h_size,seed,acc,train_time,test_time
lenet-pae-elm,0,1,100,22,0.9482,3.305081844329834,2.9951939582824707
lenet-pae-elm,0,1,100,432,0.9462,3.3776535987854004,2.983670234680176
lenet-pae-elm,0,1,100,63,0.9464,3.2599799633026123,2.9863481521606445
lenet-pae-elm,0,1,100,754,0.9519,3.2642927169799805,2.9814014434814453
lenet-pae-elm,0,1,100,3456,0.9367,3.2649178504943848,2.98305344581604
lenet-pae-elm,0,1,100,5,0.9468,3.2603113651275635,2.984576463699341
lenet-pae-elm,0,1,100,6677,0.9516,3.2565646171569824,3.040928840637207
lenet-pae-elm,0,1,100,876,0.9416,3.442505121231079,3.1733555793762207
lenet-pae-elm,0,1,100,213,0.9552,3.4460864067077637,3.1680073738098145
lenet-pae-elm,0,1,100,5444,0.9495,3.448167324066162,3.1697285175323486
lenet-pae-elm,0,2,100,22,0.9639,3.775743007659912,3.1937785148620605
lenet-pae-elm,0,2,100,432,0.9723,3.7103874683380127,3.1936497688293457
lenet-pae-elm,0,2,100,63,0.9673,3.793114185333252,3.2059404850006104
lenet-pae-elm,0,2,100,754,0.9698,3.7001876831054688,3.1921422481536865
lenet-pae-elm,0,2,100,3456,0.9671,3.7041280269622803,3.2342422008514404
lenet-pae-elm,0,2,100,5,0.967,3.702915668487549,3.194887161254883
lenet-pae-elm,0,2,100,6677,0.9652,3.7047994136810303,3.194882392883301
lenet-pae-elm,0,2,100,876,0.9678,3.71093487739563,3.1925547122955322
lenet-pae-elm,0,2,100,213,0.9682,3.7072322368621826,3.1884257793426514
lenet-pae-elm,0,2,100,5444,0.9709,3.703991413116455,3.198453426361084
lenet-pae-elm,0,3,100,22,0.9738,3.9753801822662354,3.2215628623962402
lenet-pae-elm,0,3,100,432,0.9716,3.967101812362671,3.2293169498443604
lenet-pae-elm,0,3,100,63,0.9737,3.97487211227417,3.235369920730591
lenet-pae-elm,0,3,100,754,0.977,3.9804036617279053,3.265974521636963
lenet-pae-elm,0,3,100,3456,0.9693,3.9722514152526855,3.2250654697418213
lenet-pae-elm,0,3,100,5,0.9701,3.9670019149780273,3.2249228954315186
lenet-pae-elm,0,3,100,6677,0.9716,3.9839015007019043,3.2286558151245117
lenet-pae-elm,0,3,100,876,0.9718,3.9702577590942383,3.231473684310913
lenet-pae-elm,0,3,100,213,0.9754,3.973289966583252,3.2338571548461914
lenet-pae-elm,0,3,100,5444,0.9723,3.9764046669006348,3.22743821144104
lenet-pae-elm,0,5,100,22,0.9766,4.515366554260254,3.292698383331299
lenet-pae-elm,0,5,100,432,0.9757,4.5237696170806885,3.2900073528289795
lenet-pae-elm,0,5,100,63,0.9762,4.512608289718628,3.2834556102752686
lenet-pae-elm,0,5,100,754,0.9743,4.493830919265747,3.2884249687194824
lenet-pae-elm,0,5,100,3456,0.9765,4.499323606491089,3.2859456539154053
lenet-pae-elm,0,5,100,5,0.9787,4.511623859405518,3.282306432723999
lenet-pae-elm,0,5,100,6677,0.978,4.502475261688232,3.280007839202881
lenet-pae-elm,0,5,100,876,0.9747,4.5001935958862305,3.2814407348632812
lenet-pae-elm,0,5,100,213,0.9774,4.507484674453735,3.289005994796753
lenet-pae-elm,0,5,100,5444,0.9758,4.502424478530884,3.286886692047119
lenet-pae-elm,0,7,100,22,0.9784,5.053256511688232,3.3584225177764893
lenet-pae-elm,0,7,100,432,0.9776,5.066522121429443,3.3550939559936523
lenet-pae-elm,0,7,100,63,0.9796,5.453454256057739,3.3350565433502197
lenet-pae-elm,0,7,100,754,0.9792,5.04871940612793,3.4066104888916016
lenet-pae-elm,0,7,100,3456,0.9794,5.564013957977295,3.422290563583374
lenet-pae-elm,0,7,100,5,0.9753,5.073008060455322,3.425530195236206
lenet-pae-elm,0,7,100,6677,0.9785,5.202751398086548,3.4160447120666504
lenet-pae-elm,0,7,100,876,0.9775,5.150912046432495,3.3567912578582764
lenet-pae-elm,0,7,100,213,0.9798,5.097030401229858,3.3558850288391113
lenet-pae-elm,0,7,100,5444,0.9782,5.027970314025879,3.3546628952026367
lenet-pae-elm,0,9,100,22,0.9788,5.596119165420532,3.5872437953948975
lenet-pae-elm,0,9,100,432,0.9795,5.595308542251587,3.4320313930511475
lenet-pae-elm,0,9,100,63,0.9789,5.590318441390991,3.421687364578247
lenet-pae-elm,0,9,100,754,0.9766,5.583597183227539,3.428345203399658
lenet-pae-elm,0,9,100,3456,0.9771,5.700992107391357,3.4368348121643066
lenet-pae-elm,0,9,100,5,0.98,5.662280559539795,3.478283643722534
lenet-pae-elm,0,9,100,6677,0.9817,5.741214036941528,3.496302366256714
lenet-pae-elm,0,9,100,876,0.9787,5.81992244720459,3.540553331375122
lenet-pae-elm,0,9,100,213,0.9811,5.824413537979126,3.466179132461548
lenet-pae-elm,0,9,100,5444,0.9798,5.644717454910278,3.4611072540283203
lenet-pae-elm,0,1,300,22,0.9706,3.6853206157684326,3.219904899597168
lenet-pae-elm,0,1,300,432,0.9692,3.690641403198242,3.214078187942505
lenet-pae-elm,0,1,300,63,0.9666,3.6953492164611816,3.2166965007781982
lenet-pae-elm,0,1,300,754,0.9674,3.6859452724456787,3.208717107772827
lenet-pae-elm,0,1,300,3456,0.97,3.684950113296509,3.217397689819336
lenet-pae-elm,0,1,300,5,0.9696,3.683312177658081,3.2139852046966553
lenet-pae-elm,0,1,300,6677,0.9665,3.6838154792785645,3.2203023433685303
lenet-pae-elm,0,1,300,876,0.9713,3.68750262260437,3.215536117553711
lenet-pae-elm,0,1,300,213,0.9683,3.689662456512451,3.211090326309204
